"Category","Brand_Description","Price","Review_Count","Rating"
"Televisions & Video Products"," Roku Express 4K+ | Roku Streaming Device 4K/HDR, Roku Voice Remote, Free & Live TV  4.7 out of 5 stars 70,141  10K+ bought in past month$38.99$38.99 FREE delivery Mon, Jan 29 Or fastest delivery Thu, Jan 25 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$36.99(43 used & new offers)","38.","70,141","4.7 out of 5 stars"
"Televisions & Video Products"," Roku Express | HD Roku Streaming Device with Simple Remote (no TV controls), Free & Live TV  4.7 out of 5 stars 29,730  10K+ bought in past month$29.00$29.00 FREE delivery Mon, Jan 29 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$28.90(15 used & new offers)","29.","29,730","4.7 out of 5 stars"
"Televisions & Video Products"," Roku Streaming Stick - Portable 4K/HDR/Dolby Vision Streaming Device, Voice Remote, Free & Live TV  4.7 out of 5 stars 70,032  10K+ bought in past month$49.38$49.38 FREE delivery Sun, Jan 28 Or fastest delivery Fri, Jan 26 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$37.52(42 used & new offers)","49.","70,032","4.7 out of 5 stars"
"Televisions & Video Products"," Full Motion TV Monitor Wall Mount Bracket Articulating Arms Swivel Tilt Extension Rotation for Most 13-42 Inch LED LCD Flat Curved Screen TVs & Monitors, Max VESA 200x200mm up to 44lbs by Pipishell  4.6 out of 5 stars 115,898  10K+ bought in past month$21.99$21.99 List: $25.99$25.99Join Prime to buy this item at $18.98 FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 More Buying Choices$18.62(8 used & new offers)","21.","115,898","4.6 out of 5 stars"
"Televisions & Video Products"," VIZIO 40-inch D-Series Full HD 1080p Smart TV with AMD FreeSync, Apple AirPlay and Chromecast Built-in, Alexa Compatibility, D40f-J09, 2022 Model  Options:3 sizes4.3 out of 5 stars 8,368  10K+ bought in past month$168.00$168.00 List: $229.99$229.99 FREE delivery Sun, Jan 28 Or fastest delivery Thu, Jan 25 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$145.79(14 used & new offers)","168.","8,368","4.3 out of 5 stars"
"Televisions & Video Products"," etguuds 2-Pack 3ft USB C Cable 3A Fast Charge, USB A to Type C Charger Cord Braided Compatible with Samsung Galaxy A10e A20 A50 A51 A71, S20 S10 S9 S8 Plus S10E, Note 20 10 9 8, Moto G7 G8  4.6 out of 5 stars 51,643  10K+ bought in past month$6.99$6.99 ($3.50$3.50/Count) List: $14.99$14.99Join Prime to buy this item at $5.98 FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 +  ","6.","51,643","4.6 out of 5 stars"
"Televisions & Video Products"," (Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)  Infrared4.5 out of 5 stars 24,597  10K+ bought in past month$12.57$12.57 List: $14.46$14.46Join Prime to buy this item at $9.98 FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 ","12.","Infrared","4.5 out of 5 stars"
"Televisions & Video Products"," Mounting Dream UL Listed TV Mount for Most 37-75 Inch TV, Universal Tilt TV Wall Mount Fit 16"", 18"", 24"" Stud with Loading Capacity 132lbs, Max Vesa 600 x 400mm, Low Profile Flat Wall Mount Bracket  4.7 out of 5 stars 104,599  10K+ bought in past month$32.99$32.99Join Prime to buy this item at $27.99 FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 More Buying Choices$25.85(6 used & new offers)","32.","104,599","4.7 out of 5 stars"
"Televisions & Video Products"," Anker USB C Charger Cable [2 Pack, 6ft], 310 Type C Charger Cable Fast Charging, Braided USB A to USB C Cable for Samsung Galaxy Note 10 Note 9/S10+ S10, LG V30 (USB 2.0, Black)  4.7 out of 5 stars 8,105  10K+ bought in past month$9.99$9.99 ($5.00$5.00/count) FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Reducing CO2More Buying Choices$7.99(2 used & new offers)","9.","8,105","4.7 out of 5 stars"
"Televisions & Video Products"," SK SYUKUYU RF Remote Control Page Turner for Kindle Reading Ipad Surface Comics, iPhone Android Tablets Reading Novels Taking Photos  4.5 out of 5 stars 7,027  10K+ bought in past month$33.99$33.99 FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 More Buying Choices$32.63(5 used & new offers)","33.","7,027","4.5 out of 5 stars"
