"apUsernames","apReviewer_Date","apReviewer_Content","apRating"
"classicsoncall","26 August 2012","I've been letting my thoughts for this film percolate now for about twenty four hours, so before any more time goes by I'll try to get it all down here. I thought there was something up with the picture when Patrick Bateman (Christian Bale) and his cronies were comparing business cards for the first time. I got the impression that it was all a sham, that none of them were actually Vice Presidents of Pierce and Pierce, and that they were actually role playing the position of executives in anticipation of an eventual promotion. Bateman himself never seemed to do any work, other than having his secretary line up his appointments to meet associates or clients so he could spend additional time not working some more.The bigger tip off that this was possibly all just an imaginary story was the 'Feed me a stray cat' scene. By this time it was pretty well established that Bateman was unhinged, but the question is, to what degree. Did he really engage in those prior killing sprees or did he just imagine it? Or a third possibility, was he envisioning what it would be like to go completely berserk if all bets were off and he could completely get away with it. By the time the story's over, I think you'd have to be open to all these various interpretations, because in the 'real' world, you wouldn't have a realtor showing an apartment where bodies hung in the closet just days before.Going in, I had some trepidation when the DVD opened to a menu screen suggesting a splatter flick, and if I'm not mistaken, an image of a chain saw somewhere along the way. I've seen a couple of slasher/gore films in my time, and though I'm not that squeamish (any more), that kind of stuff does nothing for me. So anticipating a chain saw scene, I could only groan at the impossibility of the physics involved in poor Jean (Chloe Sevigny) taking a direct bull's eye hit like that at the bottom of the staircase. Just one more suggestion that this wasn't really happening.And what of Donald Kimball (Willem Dafoe)? What happened to him? Was this Bateman's guilt becoming manifest, either because of an actual murder or because of his own malicious thoughts? Generally I get really upset about movies like this because they tamper with one's ability to follow a coherent story and come to a reliable conclusion about what happened in it. But then again, it's got the word 'Psycho' in the title, so I guess all bets are off. Personally, twenty five dollars for a couple of drinks at a trendy New York City night club is about as psycho as I'll ever get.","
            8/10
            "
"MovieAddict2016","1 July 2005","In 1991, Bret Easton Ellis' controversial novel ""American Psycho"" took the world by storm - women accused it of being misogynist, sexist filth and others were understandably shaken by its brutal and graphic depictions of unprovoked violence and torture.Set in the 1980s, the book follows the story of a 27-year-old Harvard graduate named Patrick Bateman, who goes on a killing spree and murders ""twenty, maybe forty people."" It was originally slated for circulation in 1990, but Random House pulled out of distribution, fearing backlash. It was later released as part of a Vintage Series, and quickly sold over 250,000 copies, becoming one of the most popular (and, to some, important) literary works of our time.In the movie, Welsh actor Christian Bale portrays Bateman gleefully tongue-in-cheek, whether it's confessing to manslaughter over the phone (""I just had to kill a lot of people!"") or dancing to Huey Lewis and the News' ""Fore"" album before hitting an associate over the head with an axe.Patrick is a troubled guy. On the surface, he appears to be normal - he's a Wall Street broker with a secretary, an expensive apartment suite, his own limo and a fancy business card. But on the inside, he's a monster - complete with an insatiable blood lust and lack of empathy for fellow human beings. (If he can indeed be classified as one.) As a film and a novel, ""American Psycho"" is an attack on the absurdities of the '80s yuppie era - sometimes the satire isn't very subtle, in fact it's often made very clear, but I liked it. Because the movie is so eccentric and over-the-top, and Bale is so loony and maniacal, the satire needs to be equally strong - and it is. Whether it's business men drooling over each other's fetishistic business cards or Patrick discussing the nuances of modern pop music before killing more victims, ""American Psycho"" hits strong and hard - this is a great, overwhelming cinematic and visual experience. It cannot be condemned for being unsubtle - it never was.The performances are wonderful. Bale is superb as Bateman, totally embodying the character. As a man bewildered by his environment, and wanting only desperately to fit in, Bateman listens to Genesis and ""Hip to Be Square""; finally we have proof that too much Phil Collins and Huey Lewis will turn you into the next Ed Gein.Perhaps some fans of the novel will dislike Bale's performance (at times, it almost seems comical, such as when he murders his coworker Paul Allen, played by Jared Leto). But I thought it was the perfect mix of introspection, self-hatred, outer-loathing, lust, conformity and schizophrenia. Bale manages to capture all of this perfectly, and by the end of the film, I could not imagine anyone else in the role.Willem Dafoe, Chloe Sevigny and Reese Witherspoon all have co-starring roles, but at the end of the day it is Bale who really drives this film home - he's the reason it's worth seeing, and in part the reason it exceeds beyond the typical restraints of its genre.Since its release, many critics have accused ""American Psycho"" of being a watered-down version of the book, being both ""politically correct"" and ""lacking satire."" However, I don't recall the last time I saw a man beat a dog to death with the heel of his shoe in a mainstream motion picture. Or chase after a prostitute completely naked, wielding a bloodied chainsaw. Or hold a gun to a cat's head and threaten to feed it to an ATM machine.In fact, when ""American Psycho"" was previewed before the Motion Picture Association of America, they gave it an NC-17 rating - not for its violence, as one might expect, but rather for its threesome scene between Patrick and two prostitutes.Director Mary Harron cut footage from the film and finally managed to achieve an R-rating, but on a new ""Uncut Killer Collector's Edition"" DVD, you can see the film as it was intended to be seen - and it's a real fine treat. Now excuse me, I have to go return some videotapes.","
            9/10
            "
"Leofwine_draca","17 March 2015","A controversial adaptation of the controversial Brett Easton Ellis novel, this is actually a brilliantly conceived movie that sheds new life on the disturbed world of the serial killer – and as such may be the most innovative ""psycho"" movie since, well, PSYCHO! Filmly embedded in a hilariously '80s setting, this is both a thriller and a biting satire of the decade, with tons of subtle comedy and lashings of black humour to make the grisly subject matter a lot easier to digest.It's a wonderfully shot movie with plenty of memorable scenes, such as the infamous chainsaw murder, or the bit where Jared Leto gets an axe in the face. The movie works so well thanks to the strong acting which really makes it entertaining. Christian Bale is outstanding, a wonderful and scary and believable performance as a emotionless psychopath who realises that his own murderous inclinations are evil but is unable to do anything about it. His performance never falters for a moment.Similarly, the supporting cast of quirky characters are excellent – Reese Witherspoon's dumb-as-nails bitch; Samantha Mathis's junkie; Willem Dafoe's weirdo detective, plus a vivid array of minor roles. Although the movie is violent and pretty disgusting in places, it remains watchable and entertaining throughout thanks to the quirkily playful script and Bale's engaging performance. Definitely worth a look!","
            8/10
            "
"DanielStephens1988","15 July 2019","The film looks to examine our own distorted points of view or detachments from reality. Like Patrick Bateman, we may be trapped craving the approval of others and denying ourselves the ability to distinguish fantasies from our reality.
People are obsessed with how the others perceive them likewise in American Psycho Bateman achieves no catharsis, he's trapped in his own personal hell because he requires the recognition of the other yuppies to confirm his identity as a murderer. The irony is that Feynman's real crimes may as well be fantasy. The lack of acknowledging his reality drives Bateman further into madness and existential despairIt's about yuppie culture, the melding of identity, and the craving to stand out from a superficial homogenized society. Bateman's interpretation of the world is skewed by his inflated ego and his evident psychosis as well as presumably multiple mental illnesses. Bateman is a killer, but still, he's not the killer he thinks he is, as he goes insane he can't distinguish reality from fantasy. His over the top chainsaw massacre style killings may be an aestheticized elaboration on partial truths, ultimately the film doesn't care. The more significant point of the movies absurdity is that within his society Batemans not the psycho at all he's just one more normal guy amidst a horde of uncaring detached from reality, secretly discontented American psychos. Bateman is surrounded by like-minded superficial people obsessed with all the wrong things like making impossible reservations at Dorsia and the tasteful thickness of their business cards. Within the homogenized upper-class elite identities blur as everyone strives after a generic yet highly specific image of success.Everyone we see in Bateman's company appears to be the same person. It's no wonder that identity is mistaken continuously and swapped throughout the film. The lawyer has mistaken Paul Allen or perhaps Batman has killed the wrong person becomes not only plausible but also an expression of the general confusion resulting from the loss of individual identity.Meanwhile, although Batman tries like the rest to fit in, the emptiness of his lifestyle also fuels a craving to stand out. To escape the conformity that he on some level despises Batman leads a second life as a killer, where he's unfettered from the bounds of society. Although he actually wants to be seen as a murderer as someone different from the rest of society Bateman is denied even the satisfaction by every self-absorbed yuppie he meets. When he's seen stuffing a body into the trunk of a car, the witness is only interested in the bag.This is a great movie. Look for the subtext under the dialogue.","
            9/10
            "
"mark.waltz","5 January 2022","Your pretentiousness is over-the-top ridiculous and makes you look like a fool. Yes, your fictional, but I've seen so many of you around walking down the streets of Manhattan on my way to my office. I've even seen you in elevators that we shared, and I have to hide the laughter I'm tempted to burst out with. I may even have exchanged a glance with you in a club and rolled my eyes and turned away. In all seriousness, I've talked to people socially who have Patrick Bateman qualities (or lack of qualities as a better phrase), utilize the most pretentious of body cleaning products, but they are so much better than everybody else simply because of a label on a pair of jeans. Am I surprised that Patrick Bateman turns out to be a psychopath? Absolutely not.The performance of Christian Bale is calculatingly brilliant, and that is due to how wonderfully despicable he is from the start, and it only gets worse. The way he talks is absolutely annoying, and that makes the film hysterical from the start. His facial expressions through the eyes and the way he talks makes me instantly discus him, but there are a lot of fools around in the business world who thinks latching on to a person like that would be an aid to their career. Then there's the women in his life, a fiance (Reese Witherspoon), a mistress (Samantha Mathis), and the secretaries and other assorted acquaintances that he abuses mentally and some physically as the audience gets to see how deranged he really is.Jared Leto and Josh Lucas are among the men in his social circle, through business and personal, and as the murders begin to happen, William Dafoe joins the story as the detective on the case. It all starts when he brutally assaults and murders a homeless man, not just killing him but verbally abusing him in the minutes before he strikes. He thinks he is acting like God and a deliverer, and this scene is very hard to watch even though it is necessary to get the plot moving.I have avoided this film for years, but I did break down and go to see the short-lived Broadway musical a few years ago. Both the original movie and the musical are a slap at the ridiculous pretentiousness of the higher echelon society when it gets to be too much, focusing on pretentious meals at overpriced restaurants, getting laughs through the announcement of the daily specials. This is not going to be for all tastes, but I love how it ridicules personality types like Bateman, probably not all psychopaths, but so hateful in their uppity manner that you can't help but enjoy watching them being taken down a notch or ten.","
            10/10
            "
"nph19","12 October 2018","One of the weirdest movies I've seen. Saw on video tape when it came out then recently watched it again 18 years later. Forgot how fun it is to watch. The absurdity of Bale's character Patrick Bateman's shallowness and preoccupation with superficial things like how upset he gets over a colleague having a better business card than him makes this movie comedic while he's slicing up victims. Still not sure about whether or not all of the things happening were all in his head. I guess that's up for anyone's interpretation of the story. Very well done and one of Bale's best performances as if he's ever performed badly.","
            9/10
            "
"gavin6942","16 April 2007","Patrick Bateman is a heartless man with no concern for those around him. Serial killer... or capitalist? This film explains there might not be much difference and perhaps shows us why serial killers in the 1980s were more celebrated than any time before or since in popular culture.This is not a film for everyone. Some (like myself) will love every little aspect, while others might be turned off my the sex and violence... or just be really confused by the style (the directing is weird, but actually pretty straight-forward once you've read the book). I suppose that is to be expected. Even those looking for a horror film might be let down, as that isn't the real focus here.The cast of this film is amazing. Willem Defoe needs no introduction. Chloe Sevigny (one of my favorites), Jared Leto, Reese Witherspoon (not my favorite but good for her role) and Gwen Turner. Even Samantha Mathis shows up. But, of course, stealing the show is Christian Bale.Bale was the perfect choice to play Bateman and I'm glad director Mary Harron would settle for no one else (turning down Ed Norton, who gets compared to Bale but remains inferior). Bale is able to be any character he wants (comapre this to ""Batman Begins"", ""The Prestige"" and especially ""The Machinist"" and see if there's any of the same characters here). As Bateman, he is perfectly self-absorbed and also maniacally distant. The little dance during the Huey Lewis scene (one I have heard he added himself) remains for me one of the two key scenes (the other involving a chainsaw).Besides the great acting (the real reason to watch this), the music is very noteworthy. The book does a fine job of elaborating on the music of the 1980s, and I think they incorporated that well here (throwing it in to death scenes rather than as solo pieces adds an interesting twist). This film, along with the gentlemen I go to the tavern with, really got me into Huey Lewis and Phil Collins. Which is really wonderful. Not so much on the Robert Palmer or Whitney Houston...I guess I should also compliment them on the tasteful way (read: artistic) the sex and violence was done. Ax wounds, chainsaws and bite marks... threesomes and science-knows-what done with a coat hangar. But the vast majority is shot from such angles that it's almost all left to the imagination: you think you see more than you really do.Clearly, I really want you to see this film. It's possibly Bale's best, or at least the one that pushed him into the spotlight. He steals the show. You won't like it if you don't like horror, but the title is ""American Psycho"" and the cover has a man with a knife, so you know what you're getting yourself into. Grab some popcorn and a Cherry Coke Zero and kick your feet up. Enjoy!","
            9/10
            "
"atzimo","30 September 2002","'American Psycho' is NOT a slasher movie. It is a depiction, a fantasy if you will, of the life of modern man and his place in society.Nothing is enough. Money, sex, social stature, there is always someone else who has more and everyone else expect from you to try harder for even more.This movie is about eliminating competition the easy way. By killing your opponents. By eating your sexual partners. By destroying everyone around you.'American Psycho' retains the balance between this psychotic state, a chilling thriller and a very funny movie.The scenes that show Patrick playing music for his guests are absolutely hilarious, as he comments very seriously on records by artists such as Whitney Houston, Phil Collins and Huey Lewis & the News. The funny thing is that he chooses the most commercial or sold out records of these artists, to explain how much better they are compared to their previous, more artistic work. Another message of the state of the receivers of commercial art.You can analyze 'American Psycho' for hours. It can be perceived both as a deep and a fun movie. Even if you don't like the story, you will love Christian Bale's excellent performance.Enjoy.10/10","
            10/10
            "
"rahulsharma-95586","10 October 2020","The author of the novel and the director of the film both say that it wasn't in his head. All of the yuppies dress the same, act the same, have the same job position (vice president), and have the same haircuts, which is why everyone always confused Patrick with someone else. Additionally, the satire was to show that everyone at the time was extremely narcissistic and superficial. The landlord of the apartment cleaned up all of the bodies and gore that Bateman left behind in order to protect the property value. The point is that Bateman is an actual psychopath who lives in a society that's somehow even more crazy than he is.","
            10/10
            "
"grendel-37","13 October 2001","Having just finished American Psycho, I came to IMDB to get some clarification on the ending. And it seems I'm not the only one left vaguely adrift by the ambiguous ending.I've browsed some of your comments, not all 400+ to be sure. But some of them. A good sampling I think, and this movie has three distinct cheering sections.Those who consider it a masterpiece, those who consider it unredeemable, boring trash, and by far the largest segment, those who see it as a flawed masterpiece.I fall into the latter category. And no, I did not read the book. But as others have stated any movie that requires you to read the book, to ""get"" the movie, is ultimately a failure as a movie.So my review is based solely on the merits of the film. And contrary to what some have said, the film does have many merits. I found it brilliantly directed, and a superbly acted examination of excess, and boredom, and evil. An examination, satire, critique of a time, and type of thinking.
Even before seeing the ending, I thought how much bateman lives in people. Found myself thinking, an examination of bateman is an examination of men by the name of Reagan and Bush. How American Psycho is an examination of our times, and our modern theologies.I found the movie as a whole riveting, loved the restraint shown (and disagree with those calling for more gore, I think Mary should be applauded for her deft hand, the scenes have more power for what is not shown), and was captivated by nearly every scene, by scenes others have called boring, but I found profound.Bateman putting on his makeup, or simply trying to get a restaurant, and the near apocalyptic importance, such minutiae makes in the lives of empty men. The right card, or the right cloth, or the right table, or the right watch, how these are the signposts of an empty age and an empty soul, and how these things have more value than your fellow man... or woman.Bateman attains everything the materialistic times tells him he should want, but once he gets it he feels nothing. Emptier than before, less than before. It's only in the extremes of his addictions he begins to feel something, anything. He feeds to fill the emptiness, but the more he feeds the emptier he gets. He eats at his fellowman (woman) but in his bloodlust he eats at himself.He is the American dream, taken to its cannibalistic extremes.And never before has makeup, played such a mesmerizing part in a movie. Bateman's(Chris Bale's) face at times when he is under stress, takes on a plastic look, a glossy, sweaty sheen, and for all the world it looks like he's wearing a mask... and the mask, his mask of sanity, is beginning to run.Simply amazing use of makeup. And incredible performance by the lead actor. I wasn't familiar with him before this, but everyone will be after this.Upon first hearing about this movie, I had no desire to see it. I've grown up since the age of Hills Have Eyes and trash like The Beyond, watching people suffer no longer seems significant. I guess as we get older we ask more of our art than springer, or the WWF, or slasher flicks. We ask of our art to tell us something true. Something of ourselves, and our world.I think American Psycho under the deft hand of Mary Harron becomes more than my prejudices, and exceeds my expectations. Rises at times to dizzying heights not unlike art.Mary's restraint makes this movie. But I fear her restraint nearly sinks it as well. The ending is too ambiguous. Who is Bateman in the end. Is there a Bateman? And what did he do or did not do?In the end,the movie will nag at you. Did he or didn't he? And in the end, now that I write this I'm thinking maybe the answer doesn't really matter, maybe in the end the answer is the same. In the end a sin of thought, or a sin of action, is still a sin. In the end we are left with a man, and a nation... whose mask is slipping.
I think like the first Psycho, time will prove this one.... worthy. I now add Mary Harron to the small selection of modern directors I will tiptoe through broken glass to see. Directors like Dave Fincher(Seven, Fight Club), Carl Franklin(Devil in a Blue Dress), Johnny To(Expect the Unexpected), Ringo Lam(Full Alert, Victim), M. Night Shyamalan(Sixth Sense, Unbreakable), and Peter Weir(Fearless).Recommended.","
            9/10
            "
