"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"MamadNobari97","30 June 2023","I thought they couldn't possibly write something even worse than F9, but here we are.This movie is just excruciating to watch and the 2 hours felt like a really long 5 hour movie to me. It's just a dumb action scene after a dumb action scene that never ends, until the movie just ends out of nowhere. Like even filler TV show episodes have better story structures and endings than this.This movie might be better than F9 for some, which is understandable since it's all because of Jason Momoa. Hell, I don't even remember a thing that happened in the last movie, but I won't forget Momoa's character here any time soon. So I get why this would be more watchable and better for some, if not most people because of Momoa, but I think it's worse and Momoa's character gets tired and annoying really fast.The biggest problem of this movie is that the writers don't have the balls to actually kill a main character and actually hurt the ""family"". So instead they introduce new characters out of nowhere and bring back characters from Fast Five so they could kill them instead and make Dom care about them instead of actually killing his real ""family"". Because they already brought back so many characters from the dead that they know they would have to bring back the ones they kill here in Fast 13.Not to mention all the unnecessary unfunny long scenes that contribute little to nothing to the story and only pad the runtime and make you want to do literally anything else but continue watching it, like the black market scene with the ever unfunny Pete Davidson.There are just an awful amount of long useless scenes that make you more sleepy. This movie is a really good cure for insomnia.Like if you cut 90% of Tej/Roman/Ramsey scenes, nothing changes here and actually helps the awful pacing of the movie and gets rid of unnecessary scenes that do nothing for the plot. But then again, it's the only time you have a breather between the awful action scene.The story structure is just plain awful and the movie feels more like a bunch of random action scenes jumbled together than having an actual plot structure.Compare this to the storytelling of Fast Five which this movie loves to use a lot of footage of it and retcon it's story, remind you how much better the writing and action scenes were, and basically ruin it. It's not like the old movies were masterpieces, but at least the writer knew how to keep the action somewhat grounded, and how to keep the characters interesting and to have a decent balance between action and dialogue and characterization.Those movies were mediocrely written, but at least they were competently mediocre with actual story structures and characters that felt like real humans to some degree. They were actually entertaining because they did the bare minimum of keeping it grounded and realistic enough for your suspension of disbelief and also with the characters so you would care about them enough to watch a 2-hour movie of them doing all of that.But these last two movies have just been some of the worst writings I've ever seen and they feel like they weren't even written by adult humans and with the worst dialogue imaginable. This one is particular feels like it's just a collage of some random bs they wrote on the story board.They also try to make and take everything so seriously to a point that that alone makes it hilarious, now add a jester villain to the mix and you have this ridiculous amalgam of ridiculousness that wants you to take it seriously but you can't do anything but roll your eyes and facepalm.The movie is already bad and you want it to end badly from very early on, but the ending itself is so bad that it's insulting honestly.All of that with a lot of other problems that I do not care to list and waste any more time talking about this garbage, along with the fact that you already didn't care an ounce about these characters and stories in F9, make this movie worse than the previous one for me and gets a 1/10 from me. Somehow I feel like they can even go lower and deliver us an even worse mess of a movie with the next one, but the writers of that are apparently different and more experienced, so we have to wait and see but I doubt anyone could save this at this point. But, this movie sets the lowest bar possible, so you must be an actual genius to somehow write something worse than Fast X's script.","
            1/10
            "
"feritciva","15 July 2023","I can write the exact same review for the last Transformers, last Indiana Jones, last Star Wars movies, last FF or last Marvel movies etc... What happaned people? Something has happened in movie industry in late 2010's - 2017 or 18. We cannot see any decent plot, any consistent story-telling or any sympathetic characters anymore. Day after day we have to endure more & more imbecilic movies with idiotic characters... new movies come out and this pattern never changes.It's really not an easy job to be a movie-lover as of 2020's! :((PS: .... and we see the above trend here in imdb too, as it insists on some ""minimum character limit"". Oh my!!","
            1/10
            "
"BA_Harrison","19 May 2023","Fast & Furious 9 did what a lot of franchises do at some point: it took the action into outer space. This seemed to me like a good point to call it quits. But with the money still rolling in, nobody in Hollywood was going to end this cash cow; thus we have Fast X, the first in a rumoured three part finale (until the inevitable reboot).I've been on board with the franchise since the start, sticking with it as it moved from the street racing world into more James Bond territory, the action getting more and more ridiculous with each chapter. Seeing how each movie would top the one before in terms of craziness is what kept me entertained. But Fast X is just dumb, and it's not even dumb fun.The stunts are more preposterous than ever, but the film is never thrilling, every interminable action scene enhanced by rather ropey CGI (the flames, in particular, look really bad). There are some dreadful attempts at humour (mostly courtesy of Tyrese Gibson and Ludacris), and we get all that inevitable crap about the importance of family (if I see the gang having another barbecue I think I'll hurl).And then there's Jason Momoa as villain Dante...I can see what they were going for -- kooky flamboyant psycho capable of almost anything -- but Momoa is absolutely awful, his performance bordering on camp, not helped by the character's dubious choice of attire. It's hard to find Dante menacing when he's flouncing about in a silky shirt. I'll no doubt watch the next two films for the sake of completion, but with Momoa on board it'll be hard going.Fast X is easily the weakest of the series so far, but I'll give it 3/10 because I guess things could get even worse.","
            3/10
            "
"Prismark10","1 June 2023","By this point, I went to see Fast X without a clue as to what happened in the last one. I think some people went to space.The F&F series is one where villains become friends, people come back from the dead and cars defy the laws of physics. No one has an idea of the story soon after they watched it.A plot inspired by Fast 5, where they stole a safe and rode it along the streets of Rio de Janeiro.Dante Reyes (Jason Momoa) is the sociopathic son of Hernan Reyes (Joaquim de Almeida) and he wants to make Dom Toretto and his family suffer for what happened to his dad.The main action starts by dropping a big rolling bomb in Rome and aim it for the Vatican.Plagued with behind the scenes issues. Original director Justin Lin departed soon after shooting started. Director Louis Leterrier does a workmanlike job. As he showed in the Netflix series Lupin, Now You See Me as well as The Transporter movies. He can do car stunts as well as sleight of hand. Some of the CGI looked cheap though.As for Momoa, the director obviously told him. Man you will never play the Joker, too Polynesian. So Dante is your Joker and dial it up to 12. He is loud, camp and is having a ball. Especially with those two IT guys with a funny grin on their faces.Some of the regulars are even more tiresome. A few should had showed up but did not like those two Brazilian guys from the earlier movies. John Cena plays lovable Uncle Jacob, he was the main villain in the last one.The movie actually has four Oscar winning actresses. Not one of them told Vin Diesel how to do dramatic. When Dom had these small tender scenes, I nearly fell asleep.","
            5/10
            "
"gehete-40949","28 June 2023","You know the deal by now, family, fast cars, hot girls(not so many this time), A-list celebrities, cheesy dialogue and story all wrapped up in a high budget movie that barely makes sense. It is not supposed to make sense of course. Even if there ever was an attempt to convey street racing culture at the beginning of the franchise all is but gone replaced by a forgettable action flick that deserves to be a streaming only release.If you went to the cinemas for this bore fest of pointless explosions I feel bad for you. I am not even go into the story, the only saving grace of these movies at this point is the polished cg and well done stunts. Just do society a favor and stop rewarding mindless micheal bay movies.","
            2/10
            "
"towe-51620","26 May 2023","I have to admit all you people who forewarned me still didn't prepare me for the absolute most ridiculous movie in this franchise & definitely in the top 20 of worst movies ever! Everything was forced, the acting was stale and wooden, nobody seemed to care that they were looking like what they were out there doing! Stroking Vin's ego and not caring how they came across. They were all just going through the motions of a movie with less plot the Wiley Coyote and the Roadrunner. Momoa did a cheap imitation of Ledgers Joker and every part of this movie was just one lifted from 1 or more of the previous 9 movies! The car in outer Space was 10 times better than this 10 year olds version of the Fast & Furious. Fast is just a blatant rip off of Point Break. Walker was Keanu as Johnny Utah, Vin as Swayze's Bohdi. Instead of surfing it's cars and in some they actually rob a bank or two. This movie should never have been made as it contains nothing of what made this group of films popular as they are. The next one hopefully will be the last forever! Whoever gave this more than a 1 has to be somebody related to someone in the movie or a 5 year old! This was so bad that it wasn't even funny and the torment lasted almost 3 hours of non stop chaos and pointless plots with going back and forth between too many storylines that were not connected or understandable! If you don't want to waste 3 hours of your life, skip this and watch Looney Tunes, they are superior in every way!","
            1/10
            "
"akshatmahajan","15 June 2023","The movie starts it story from the first ten minutes of Fast Five. The story starts out of nowhere and thr scenes are not even connected properly with each other. Any scene comes out of nowhere. The performances by all the cast members felt weak and the character development of the main Villian was bad. Jason's character wanted revenge in the movie but it more looked like he was a psycho who kills people for fun. The main problem with this franchise is saturated. It feels like we have seen all this millions of times and the action scenes doesn't amaze you.Overall, it was an average action movie and the franchise has reached fatigue.","
            4/10
            "
"schorschi100","8 June 2023","I am (was) a huge fan of the ""fast and the furious"" series, and of Vin Diesel. Although I am a physicist I can live with ""curbing"" the laws of nature to some extent, provided that this is justified (e.g., through SciFi, magic, alternate universes etc.). It is also OK in movies like Mission Impossible and similar to drive things to the extreme. However, when both physics AND logic go awry it's simply too much.The main villain in the story, (Dante, played by an amazing Jason Mamoa) is simply a joke. He is super intelligent, super rich, super powerful, and a caricature of a sociopath à la Joker. He is able to organize his crimes (which are purely driven by hatred) in such perfect timing across the globe and with access to every possible computer, that his abilities surpass those of Robert Langdon's foes (DaVince code), of Thanos (Avengers) and all James Bonds enemies at once. It borders ridicule. And, the most importantly, makes the film boring.In the next episode they are going probably to have spaceships racing across the galaxy I guess, and Dante will use nuclear fusion to kill.Acting is generally from decent to very good (well it's not Shakespeare after all, so not utterly important), and the cinematography (referring to the effects) excellent. Unfortunately a nice packaging does not salvage a really bad content.Finally, I really abhor cliffhangers, and I seldom (if ever) have seen such an infuriating one. It's one thing to leave things open in a story, and quite a different one to literally stop the action in the middle of the most intense scene, like someone just pulled the plug of the TV. This practically means the producers where so sure the viewer will not watch the next one, that they had to use every means to animate them to do so. Plain awful and tasteless.In a whole this is by far the worst of an otherwise very good series. If you really want to watch it, at least wait until the next one comes out to save yourself the frustration of the unfinished scene.","
            2/10
            "
"hectordanielbuelna","19 May 2023","Fast X finally went too far.As far as I remember, people keep complaining about this movies being dumb, however, people often dismisses the the charm of the action and the overcomplicated plots of crazy writers trying to show how smart they are. This time they actually went too far.Once again they retcon an old movie by adding scenes that weren't there. Once again they got caught on a ""revenge plot"" and once again family has to come together to defeat evil. They quite literallu rehashed the plot of the last 2-3 movies, but this time they got lazy!The whole family is vack qith a brand new cast.Allan Ritchson, I love the guy, but he can't act to save his life. He has the funniest dialogues in the entire movie, though.Alison Brie, the second worse actor in the entire movie, has absolutely no chemistry with the entire cast. It's actually impressive, she seem uncomfortable in every scene. I don't get it.John Cena again charming his way into making you like his character, he can't act either, but he actually takes advantage of the dialogues and his own phisicality to sell the Jacob Toretto.And Jason Momoa... Just played a goofier Joker. Jared Leto would be proud. He's even obsessed with the color purple. Someone must've felt very cheeky when he said something on the lines of ""I don't wanna kill them, I just want to hurt them real bad"". What a failure of a villain. Jumping back and forwards between a serious villain and an clown.This was, overall, a very dull, uninteresting and boring disappointment. Fast 9 shoulda been the last one.Not looking forward to the sequels to this mess, not at all.","
            3/10
            "
"A_Different_Drummer","10 June 2023","The late media guru Marshall McLuhan offered the world an interesting meme, called Media Ecology, which finally acknowledged the resources used in media as precious and drew attention to their waste. Nobody else had ever noticed this. (Much like in our current upside-down age nobody notices the rare earth resources needed to make electric cars the standard). In terms of media ecology, this may be the most wasteful movie produced in decades. The actors, the props, the stunts, all devoted to shutting down a franchise that blew a tire years ago and never got it patched. The sheer incompetence of this script is clear from the character that Momoa tries so hard to breathe life into ... and fails. By the time the Big FInale rolls down the highway, at the 2:00:00 mark, the poor viewer is no longer rooting for the Good Guys or the Bad Guys. Only for Father Time to arrive and end the spectacle before any more careers can be burned in the conflagration. ((Designated ""IMDb Top Reviewer."" Please check out my list ""167+ Nearly-Perfect Movies (with the occasional Anime or TV miniseries) you can/should see again and again (1932 to the present))","
            2/10
            "
