"jprUsernames","jprReviewer_Date","jprReviewer_Content","jprRating"
"Pjtaylor-96-138044","10 June 2018","'Jurassic Park (1993)' is a landmark achievement, in as many ways as possible. While some of the exclusively digital dinosaurs don't hold up quite as well as the rest (despite having been only relatively recently surpassed by their peers - depending on budgetary constraints, of course), there are times when the superb CG almost seamlessly blends with possibly the best practical effects I've ever seen to create phenomenally believable, groundbreaking special-effects that truly are, still to this day, some of the best of their kind. Seriously, both the Raptor rigs and, specifically, the to-scale T-Rex are nothing short of breathtaking. They work so well not only due to the flick's fantastic technical prowess but also thanks to its beautiful blending of its core techniques (those created by clay and those by computer), its legitimate reactions from the compelling characters and its uncanny ability to put the audience right in the middle of it all, making you feel genuine wonder, fear, suspense and elation as if you're really sat alongside these long-extinct creatures. It's difficult to stress just how important the characters are in making it all so utterly believable, as well as so utterly captivating. Each of them feel like fleshed-out people, written to perfection by screenwriters who know how to get information across to the audience in a very organic way. It's almost as entertaining watching these people just converse with one another, discussing the morals of bringing extinct creatures back from the dead, as it is seeing them navigate the survival situation in which they are inevitably placed. It is only because we care so much about all the core players that the suspense sequences work so well, that we are kept on the edge of our seat every time a dinosaur lurks around the corner and that we grip our chairs when they leap for their prey. These scenes are some of the best in cinema, perfectly constructed with restraint and splendour. It's also difficult to describe how affecting even the simple moments can be, the moments in which we are asked to sit back and stare at the mere sight of a dinosaur. These should have dampened with time and yet they haven't, still eliciting the awe they did when they first hit the big-screen. They emulate the imagined magic of seeing one of these animals in real life for the first time. Running underneath all of this are some compelling themes that eagerly invite analysis, with the central debate being a tough and intriguing one. The picture is simply one of the most engaging I've ever seen, one that puts an ear-to-ear smile on your face just because it's so utterly amazing. It balances all of its core tenants impeccably, being a proper 'summer blockbuster' that's incredibly intelligent as well, to the point that every second is just supreme entertainment. It can make you lean forward in your seat or well-up with awe and, in general, have a blast from beginning to end. The movie is, without a doubt, a true masterpiece. 10/10","
            10/10
            "
"planktonrules","11 May 2013","By now there are nearly a thousand (not really a bazillion) reviews for this Steven Spielberg film. So, in the case of mega-hits where there is a strong consensus that the movie is exceptional (and I don't disagree), what more is there to say?! Apart from a few characters who seemed a bit one-dimensional (which is a minor problem in an action film) and the unwritten Spielberg rule that kids cannot die (taking away much of the suspense), the film is amazing. While the CGI isn't quite as beautiful as what we can do today, it STILL looks awesome. With only a few exceptions, the dinosaurs LOOK real! And, the music from John Williams is, as expected, very good. Overall, a highly entertaining film which will no doubt please everyone except for the impossible to please.","
            9/10
            "
"FrankBooth_DeLarge","5 September 2005","In the year 1993, Hollywood saw something unlike anything else, the film Jurassic Park. Never before 1993 had dinosaurs been so breathtaking and realistic on the silver screen.The plot is very original. A group of scientists cloned dinosaurs, and are about to open an amusement park where people can see the dinosaurs. The creator John Hammond(Richard Attenborough) invites a group of people, along with his grandchildren, to see the dinos and enjoy a relaxing time at the park. Could anything go wrong, at the time it doesn't seem like it, but something else is going on. Employee Dennis Nedry is planning to steal dinosaur embryos. In order to do this, he causes a security breakdown so he can get the embryos and escape. He isn't the only one that can escape, as hungry dinos also escape. After this, everyone on the island is in danger, and loose dinosaurs are everywhere. That is where the fun in Jurassic Park comes in.This is an underrated movie according to the IMDb ratings. It isn't even in the top 250. Today, people don't appreciate it as much, mainly due to the fact that other movies like it have been made. Growing up in the 90's, this was one of my favorite movies. As a kid, I only watched it to see the dinosaurs, as I didn't understand a whole lot of it. Today, I realize how great the plotting and suspense are.This spawned two sequels. The second one wasn't bad, but the third wasn't very good. I would recommend seeing the second after this, but the third is passable.The story is great, how at first we see how the magic was created, and then later we see the magic turn into a disaster, in which everyone's life is at stake.The special effects are still good today, but they were revolutionary for back in 1993. The acting is good, and the ensemble cast is great. All of the action sequences are perfectly executed, creating plenty of suspense and tension.Younger kids may get scared by this, as I remember a lot of young kids being scared by it in 1993. If kids aren't scared by dinosaurs, they will probably enjoy the movie.I highly recommend Jurassic Park. It is quite underrated in my opinion, it deserves more credit than it gets.Watch this at all costs if you have somehow missed it and see what everyone was amazed about back in 1993.Enjoy","
            10/10
            "
"Smells_Like_Cheese","18 November 2003","My first epic movie to see on the big screen was Jurassic Park. I was only 8 years old and I had no idea what I was in for when I watched this movie. I was terrified but so enchanted by this world. Steven Spielberg brought back the dinosaur genre, a genre that was only used with caveman movies. Not to mention did it with incredible special effects. I remember seeing this movie for the first time and asked my mom if the dinosaurs were real or if they made giant robots. Those dinosaurs not only looked real but were absolutely terrifying. But what an adventure we took with Jurassic Park, the land where anything could happen with a crazy billionaire and upset employees who pretty much destroy the world for a nickel. One of the most memorable movies of all time that still holds up to this day, Jurassic Park is a film not to be missed.Billionaire John Hammond, has recently created Jurassic Park: a theme park populated with dinosaurs cloned from the DNA extracted from insects preserved in prehistoric amber. After a park worker is attacked by a dinosaur, Hammond's investors, demand that experts visit the park and verify that it is safe. Gennaro invites Dr. Ian Malcolm, a mathematician, while Hammond invites paleontologist Dr. Alan Grant and paleobotanist Dr. Ellie Sattler. They are joined on the island by Hammond's two grandchildren Tim and Lex. Hammond asks Malcolm, Grant, and Sattler what their thoughts are about having recreated dinosaur species. The group sets off to explore the park. The head computer programmer, Dennis Nedry, is secretly in the employ of one of InGen's corporate rivals, and has been paid to steal fertilized dinosaur embryos. During his theft, Nedry deactivates the park's security system, allowing him access to the embryo storage. The group is now parked in front of the T-Rex's cage and now they are fighting for their lives in Jurassic Park.I think one of the most memorable scenes is definitely the raptors chasing the children in the kitchen. What a tense scene that made you hold your breath the whole way through. You have to love Jeff Goldblum in this movie, when he tries to ""save"" the children from the T-Rex and instead pretty much gets his butt kicked, he gets saved later and as they are chased in the car by the T-Rex the only thing he can say as this giant monster is catching up faster and faster with each footstep, he says ""must go faster"" so calmly, how funny! But there is a moment that scares me more than the dinosaurs that I'm surprised no one noticed in the editing room, the granddaughter is scared to death screaming at Sam Neill that the lawyer left them and he replies with a dark look ""that's not what I'm going to do"". I responded that with ""I have much darker plans for you"", I mean his look was just so creepy! I digress, Jurassic Park is still a very fun movie that is the ultimate adventure. It's timeless and I can't wait to show my kids one day, what a great movie with wonderful effects and a wonderful cast and crew.9/10","
            9/10
            "
"TheLittleSongbird","30 March 2010","I personally really like Steven Spielberg, and I like his films, especially Schindlers List, Jaws and ET:The Extra Terrestrial. While a tad too long and has one or two loose ends in the plot, Jurassic Park nevertheless has thrilling action and has sheer evidence of the director's vision and effortless verve at work. John Williams's score is absolutely terrific, definitely one of the more memorable scores in a Steven Spielberg movie, the score for Jaws like Psycho is one of the main reason why I am so scared to go into the sea now. The acting is really not bad at all, Sam Neill and Laura Dern have given better performances but they were good. Jeff Goldblum is terrific, and as Dennis Nedry Wayne Knight is suitably more subdued. Richard Attenborough, a talented actor and a even more talented director also is good as John Hammond, while child star Joseph Mazello, who surprised me in Shadowlands is appealing as Tim. However, the real stars are the dinosaurs, especially the T-Rex, the mix of computer animation and models is inspiring. The cinematography is astounding, the script is good and the direction is lively. I haven't read Michael Crichton's book, but regardless this is a hugely enjoyable film. 9/10 Bethany Cox","
            9/10
            "
"AlsExGal","27 March 2017","The biggest attraction of this film back in 1993, of course, was the realistic computer graphic animation of the dinosaurs by SGI coupled with the realistic sound effects and the good use of suspense built around them both.After I first saw this movie in the theatre 24 years ago, I laid in bed awake for hours, not from fright, but from the lingering excitement of the entire experience. Up to that time, nothing like it had ever been done on that scale. This is hard to remember when, since then, the Discovery Channel came up with the whole ""Walking with ..."" series of documentaries on dinosaurs, early man, and creatures before the dinosaur that use the same techniques that this film did, and thus people have become accustomed to this level of realism in animation both on the small and large screen.Thus with the ""shock value"" of the animation removed, this movie doesn't seem quite as ""5-star"" as it did during its first run. The dialogue, in particular, seems a bit thin now. One aspect of the movie that still impresses me that doesn't get much mention is the outstanding use of sound and sound effects. For example, when the T-Rex first appears in the movie, it is not just the sight of the thing that terrifies, but its tremendous roar. It is still great action adventure viewing for the entire family.","
            8/10
            "
"josiahliljequist","11 June 2019","If you were born in the 90s or before, you had a connection with people...you absolutely loved this movie, and it made a mark on you. I think most people remember when they saw this movie first, because it was that awe inspiring of an experience. I remember that it was the first pg-13 movie I was allowed to watch, and what a way to start my grown up movie experience!!!
Everything in this movie screams adventure, from the opening scene where the jungle leaves rustle, the shot of mysterious sparkling amber, to the landing of the helicopter on a remote rainforest island, the movie sets the tone for the greatest adventure movie ever made. As you hear John Williams glorious theme start to swell, and you see Alan remove his glasses and start to tremble, you know you're about to witness one of the most magical moments ever put on cinema. I can't go into detail on all the incredible scenes, from the T-Rex reveal, to the kitchen scene, but each one of them revolutionized what we thought movie magic could take us. Thank you Spielberg for making this enchanting piece of art for us, an entire generation is indebted to you.","
            10/10
            "
"MichaelM24","6 July 2001","JURASSIC PARK was the film that ignited my interest in filmmaking and drove me to get a degree in it, so I will always have a soft spot for it. I was eleven when I read the book, but all the technical stuff lost me and I never finished it. A couple years later when I heard the movie was coming out, I decided I would just see it instead. With advance tickets selling out fast, my mom was lucky enough to get some a few days before it's premiere. We stood in line for roughly thirty minutes before we finally got in. Even as the lights were dimming, I still had no idea what to expect. Within moments I was glued to my seat. The opening sequences remains one of my favorite scenes in any film and continues to give me goosebumps to this day. For the next two hours, I sat in my seat just staring at the screen as these marvelous, life-like creatures that were unlike anything I had ever seen before. The film was full of awe and scares. I walked out of the theater virtually trying to catch my breath. What a thrill ride the film had been, and I eventually went back and saw it a few more times. The film was a turning point in my life, as I said, because I walked out saying to myself, ""That's what I want to do."" Sure the characters aren't deep and the dialogue isn't great, but who cares when the film is this entertaining? The actors are good in their parts, especially the always great Sam Neill, and the dinosaurs are incredibly life-like. The action is great, and the pacing (after a slow start) is relentless. The film has a few continuity flaws, but none of them matter. This film is great entertainment.","
            10/10
            "
"Leofwine_draca","25 April 2012","I'm no great fan of Steven Spielberg. He makes films that should interest me, but all too often ruins the experience by being overly sentimental. Take his WAR OF THE WORLDS remake as a case in point: it had the potential to be a fantastic movie, but thanks to the ridiculous plot twists I can't ever bring myself to watch it again. However, JURASSIC PARK, despite containing an overload of sentimentality, manages to be a simply great movie, a classic in fact, thanks to an overwhelming amount of elements that work.Michael Crichton's story is fresh (if you overlook the fact that it's Westworld with dinosaurs) and inventive. Okay, I wish Spielberg had made this film for adults rather than kids – complete with the graphic bloodshed of the original novel – but then I guess I wouldn't have seen it in the cinema at the age of 12 and been hugely influenced by it. The cast is splendid, particularly Sam Neill, one of those rarely-seen character actors who really deserved the big time success he enjoyed with his role here. Goldblum is even better, although much underutilised in favour of the redundant Laura Dern character. Watch out for Wayne Knight and Sam Jackson in memorable bit parts and try to avoid the annoyingly precocious brats played by Joseph Mazzello and Ariana Richards. Bob Peck's big game hunter, straight out of the pages of a H. Rider Haggard novel, is a complete scene stealer.Of course, this is one of those rare movies where the actors come second to the special effects, and the mixture of CGI and animatronic models is still breathtaking to this day. The scene where the T-Rex escapes is hands down one of the most suspenseful moments in cinema, ever. Okay, what follows is occasionally ridiculous (the car dropping down the tree scene) and involves kids running around too much, but it's still the kind of breathlessly exciting movie that there aren't all that many of.I still remember feeling a little bit jealous of how this movie popularised dinosaurs in the mainstream. As a kid, I'd always loved the creatures and owned loads of books about them, but after JURASSIC PARK every kid in the world fell in love with them and it was never the same. I ended up a little jaded, as I'd wanted to stay in that little niche on my own. Anyway, I digress: this is an outrageously good family movie, one of those films with a little bit of everything in it for everyone, and one I can wholeheartedly recommend and enjoy over and over again.","
            10/10
            "
"Tweekums","28 June 2017","After a worker is killed in an accident at the dinosaur theme park 'Jurassic Park' owner John Hammond calls in experts Dr Alan Grant and Dr Ellie Sattler as well as mathematician Ian Malcolm to visit it the park and clear it to open to the public. 'Jurassic Park' is no ordinary theme park; it is on a remote island off the coast of Costa Rica and it contains real dinosaurs! It is explained how these have been created by extracting dinosaur DNA from blood in mosquitoes preserved in amber. The first ones the visitors see are harmless herbivores but they are told that the park also contains some of the most famous carnivores such as Tyrannosaurus and Velociraptor; something that both excites and concerns the scientists. After an introduction the visitors, along with Hammond's grandchildren, Lex and Tim, and the company lawyer take part in a tour of the park. As they travel things go wrong for two reasons; a tropical storm is heading for the island and, more importantly, a corrupt company employee as set up a computer program that will turn off various security systems including the electric fences that protect the guests so he can attempt to steal dinosaur DNA sell it to a competitor. Once things do go wrong those on the tour find themselves fleeing for their lives following a T Rex attack on their vehicles while those at the park headquarters try to find a way to get the systems working again. Inevitably not everybody will get out alive.Like most people who watched this in the cinema when it was new I was amazed by the special effects that brought long extinct creatures back to life; watching it again over twenty years later and they still look fantastic. If one didn't know that dinosaurs died out millions of years ago you could be excused for thinking you were watching real animals. While these were the films big selling point it would have been for nothing if we didn't also have a good story acted by a fine cast luckily we have both. The action isn't rushed; a significant amount of time is spent introducing all the main characters and explaining the characteristics of the various dinosaurs. This means that by the time everything goes wrong we care about the protagonists and know which characters to look forward to seeing die! There aren't a huge number of deaths and those there are aren't overly gruesome; the goriest moment is the brief sight of a severed arm. Despite its UK-PG rating it is surprisingly intense at times and has plenty of genuinely scary moments. The cast do an impressive job; Sam Neill and Laura Dern impress as the two leads and there are also fine performances from Richard Attenborough, Samuel L. Jackson, Jeff Goldblum and Bob Peck. Child characters are often annoying but Joseph Mazzello and Ariana Richards are pretty good as Tim and Lex; especially the latter who is a great screamer! Overall I'd defiantly recommend this to anybody wanting a genuinely exciting film that is suitable for most ages.","
            10/10
            "
