"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"classicsoncall","30 August 2010","There are a number of films I've seen more than once, and if they're good (the only reason really, to watch them again), they become a richer experience and one gains a greater appreciation of them. ""Shutter Island"" might be the only picture that on subsequent viewings, becomes a DIFFERENT film from the one originally seen. I say this because the first time around, there's no way to take the character of Teddy Daniels (Leonardo DiCaprio) other than at face value. He's a detective investigating a missing person case on an island. Not your normal island, but one that's home to an institution for the criminally insane. Every interaction he has with a character in the picture is one between himself, Detective Daniels, and that character. As we come to learn, all that changes when Dr. Cawley (Ben Kingsley) reveals the twist near the end of the story, at which point, one is left either totally disillusioned or utterly blown away.What's unique and brilliant about the writing here is evident upon a second viewing. What we now know to be true about Teddy Daniels becomes even more evident. We're able to understand that in Teddy's first meeting with Naehring (Max von Sydow), Naehring is actually speaking to Laeddis. Yet those references to Laeddis/Daniels' 'defense mechanisms' could have been offered and taken either way. George Noyce (Jackie Earle Haley) was speaking to Laeddis as he had no reason not to. The vision of Rachel Solando in the cave was warning Teddy that he had no friends, and that there was no way off the island. This was a way for the viewer to understand that in some small way, Teddy/Laeddis was conversing with himself, sometimes with clarity and other times delusionally. The Warden (Ted Levine) is clearly speaking directly to Laeddis when he picks up Teddy after his night in the cave. This is all so masterfully done that even watching the picture multiple times, it's amazing to pick up on the nuance that went into developing the story.Now I have to admit, the first time I saw the picture and it became apparent that Teddy Daniels was Laeddis, I wanted to blow it off as one of those cheap constructs that film makers are prone to indulge in just to play with the viewer's head. But somehow, this was different. This was a study, a grand two day experiment if you will, designed to force Laeddis to come to terms with himself and what he had done to become confined to an institution. The way the whole story evolves is fascinating to watch, almost like watching the making of the movie instead of the movie itself. I've seen ""Shutter Island"" three times now in the space of about a month, and I know with certainty that I'll be watching it again. There's not many films I can say that about, but this one just begs it, almost like a patient requiring your uninterrupted attention.","
            10/10
            "
"jackgdemoss","22 July 2019","I originally saw this film when it came out but couldn't remember it well enough to give it a rating or write a review, so a rewatch was in order. I viewed the film through the lens of already knowing the plot twist, which made it a whole different experience. The ending will be remembered throughout film history as one that showed just how viciously a well written script can flip an audience over. This really is a film you should see twice.","
            9/10
            "
"MrGilgamesh","23 February 2020","Visually beautiful, wonderfully acted, and relentlessly gripping, Shutter Island is a brilliantly unrestrained psychological thriller that keeps its audience riveted throughout its entire duration.","
            9/10
            "
"napierslogs","22 May 2010","Martin Scorsese has done it again. He pays attention to every detail in this film, making ""Shutter Island"" one of the best suspense thrillers of all time.Visually intriguing, simplistic and absolutely phenomenal. The story is kept simplistic enough so it doesn't get absurd, but allows for an ending which you probably won't see coming. The film doesn't go for cheap thrills, so although you will be on the edge of your seat you won't get needlessly scared.The film uses everything at its disposal from breathtaking scenery, to detailed laid-out shots, and to actors at their finest to completely engross you in the film. I loved every minute of it and highly recommend it to everyone. Even if you're not a usual fan of the genre, this film has so much more to it.","
            10/10
            "
"ruhsa","24 September 2017","Shutter Island is the story of Teddy Daniels, A U.S. federal marshal sent to the island with his partner Chuck Aule to search for the disappearance of a patient. Each scene provides a turn against their leads and compels them to look for more whilst searching in places we couldn't comprehend, including their minds. Leonardo DiCaprio and Mark Ruffalo feed off each other and supply great performances for their characters as expected, but some of the other characters whose names are riveted on the posters or marquees are sensational as well. The two that stuck out to me most were Ben Kingsley (Dr. Cawley) and Michelle Williams (Dolores, Teddy's wife), each of whom brought so much dramatics and new questions to the movie, developing plot twists and controversy. I don't think this film would be the same without them.This is also a film I would recommend seeing a second time. In fact, it is even better the second time. All those pieces of that puzzle you didn't catch the first time, you will the second. You see, we as the audience are first put in the shoes of Teddy. The second? Well, without giving too much away, lets just say you are put in someones else's shoes entirely during the second viewing.Shutter Island. A film that will make you question your own sanity. A film that will leave you breathless. A film that has re-ignited the thriller genre. A film that will leave you, and the main character, searching for answers.","
            10/10
            "
"NpMoviez","29 July 2018","It is one of the best movies made by director Martin Scorsese. It is perhaps the best movie starring Leonardo DiCaprio. Honestly speaking, it is one of the greatest films of the decade. DiCaprio featured in two movies in 2010, the other one being ""Inception"". Both were excellent. To this day, they are some of the best cinematic experience I have ever had. That being said, I found ""Shutter Island"" to be much more superior, as ""Inception"" feels a little bit of a mumbo jumbo many times.Good.
""Shutter Island"" is simply a masterpiece. The beginning of the movie suggests a very basic plot of a detective story, possibly a thriller. As the movie progresses, the plot becomes bigger and bigger with more and more complexity added to it. The way this happens is incredible. The pacing is really good. That is what makes the movie so interesting. And, even though the movie gets more complex, it is not difficult to keep up with the major plot points. And, the final twist is one of the best plot twists I have ever seen. I did not expect it at all. And, like the main character portrayed by DiCaprio, we are not ready to believe what is being told until a lot of reveals finally convince us. There are a lot of many things that might seem to be pointless before the final twist which are totally relevant with the story that is actually being told. The character of Edward Daniels is superbly written. We get to know where the character is coming from and we can get behind the character - yet another excellent thing about this movie. There are some dream sequences that seems like a filler, but is a major indication to the reveal. There are quite many ""illusions"" which feel very real, but carry no real meaning in the end. There are many additional things which may seem like a diversion from the story being told, but are actually enhancing it. Some dialogues between the main character and an imprisoned character get a very different interpretation after it's all set and done. So much of a complex story, yet no giant inconsistencies at all. It's just superbly written and directed and acted. It's totally different from ""Memento"" (2000) but still, has a lot of similarities. We get into the main character's head and we just get his interpretations, different types though. Towards the end, we don't want to step fully outside his head, but when we finally do, it's mind blowing. The ending moments were conceived by many to be confusing. But, if you keep up with the entire story, it's meaning is quite obvious. The movie is dark and psychologically engrossing. Yet it does have a short lived and very brief happy moment with the tiny plotline involving Dr. Cawley's motives. That's all I can say without getting into complete spoilers. Leonardo DiCaprio, Mark Ruffalo and Ben Kingsly have given some of the great performances till date. I don't have anything that bugged me. So no mixed or bad aspects of the film.Conclusion.
On the whole, for me, it's the movie of the decade. The decade is almost over, and still I have not got any movie in the league of ""Shutter Island"". It's a very engaging and thrilling movie. It's one of those films I consider to be an all time great.Rating.
Score : absolute 10/10
Grade : A+","
            8/10
            "
"Tania_Chesala_R","27 February 2010","I know there is already a spoiler warning up top but I am going to warn you again. Don't read this because I am going to give everything away.I had this movie all wrong I will admit at the start I didn't get it and I was angry but after having a chat with my friend who went with me we both gasped when we realised what happened. The twist wasn't that he was the inpatient (seriously I think everyone saw that coming from a mile away!) the twist was the intervention actually worked. He was cured, he deliberately made it look like he relapsed because he did not want to live with the memory of what happened to his family. He blamed himself for ignoring that his wife was clearly unstable. The line ""would you rather die as a good man or live as a monster"" Depicted he wanted to die as a good man (lobotomized) then live with the memory of what happened. Also the symbolism of fire and water tells you when he is hallucinating (fire) and when he is lucid (water trickling through.) The delusion he concocts to save himself from accepting the truth is that his wife died in a fire. All the people he talks to surrounded by fire is a hallucination – the woman in the cave, the patient in the cell, the scarred faced man who he thinks killed his wife, the car blowing up – all a delusion. The water symbolizes reality trying to break through. He is afraid of water – ( and rightly so!His kids were drowned, they all died in front of the lake.) Also at the start he says he gets 'sea sick' – he is mortally afraid of water. He has to swim to get to the lighthouse.To truly get the best affect of this movie you have to see it more than once. (I have only seen this once but I promise you I will see it again)I think John Anderson from the Wall Street Journal got it right when he says the film - ""requires multiple viewings to be fully realized as a work of art. Its process is more important than its story, its structure more important than the almost perfunctory plot twists it perpetrates. It's a thriller, a crime story and a tortured psychological parable about collective guilt.""","
            9/10
            "
"planktonrules","8 July 2011","2010 was very good to Leonardo DiCaprio. Shedding his pretty little boy image, he played in two very gritty and similar films, ""Shutter Island"" and ""Inception"". I saw them both and enjoyed them both. And, to buck the tide, I'd have to say I actually liked ""Shutter Island"" a little more...really. Now do NOT just rush out to rent this one, as I can't see this film appealing to everyone. It IS confusing. The plot can feel a bit tiresome and slow. But, if you are very patient, it all comes together perfectly--with the last 15 minutes totally enthralling me. I think part of it is because I am a retired psychotherapist and psychology teacher--and the film is a great psychological drama. And, the story actually is consistent psychologically and is actually plausible.Now I could recap the plot, but currently there are something like a bazillion reviews on IMDb for this film. Instead, let's talk about what I liked. First and foremost, the writing was simply great--very intelligent and well-crafted. It really makes you think and doesn't underestimate the audience's intelligence. Second, the acting is really good. DiCaprio was excellent, but having Ben Kingsley and Max Von Sydow REALLY made this a wonderful picture. Watch this one...it's currently on premium cable. And, it's also a film that bear re-watching as there are many layers to the film you won't notice the first time.","
            10/10
            "
"davidmvining","29 March 2021","This movie's ending is a case study in how to read movies. If you consider what was said before, what was done before, and the basics of the character's journey, there is literally only one way to read the movie's final moments. Everything up to that moment builds to the finale is designed to feed a specific end point, and it helps the movie as a whole that everything up to that point is incredibly well done. Scorsese had one early foray into big budget filmmaking with New York, New York, which wasn't really any kind of success, but his turn into big budget filmmaking with another two decades of experience under his belt has been far more successful as he is able to still coax quality performances from his actors while working with more traditionally narrative based scripts (this time based on a novel by Dennis Lehane) and much more intricate and larger production design.Off the coast of Massachusetts lays Shutter Island, an old Civil War fort that has been repurposed into a mental hospital for the criminally insane. A mystery pops up when one of their patients has disappeared from her cell and two US Marshals arrive on the ferry. These are Teddy Daniels (Leonardo DiCaprio) and Chuck Aule (Mark Ruffalo). The movie begins with ominous tones from the soundtrack as the ferry emerges from the fog, and Teddy is having trouble with sea sickness. Getting on the island, everything feels off from the get go. The guards are watching them too closely. They're required to give up their firearms. They're not allowed to see any of the hospital personnel files. There's a German doctor of high position less than a decade after the end of World War II. The guards don't even seem interested in looking for the lost patient. Patients and personnel all seem coached and artificial, and behind it all is Dr. Cawley (Ben Kinglsey).Nothing about the story of Rachel Solando disappearing from her cell makes any sense, up to and including the need to send for US Marshals and to hamstring them from any kind of real investigation at the same time. How could she have gotten by so many orderlies? How could she vanish for so long without her shoes? How could she wander the grounds without shoes at all considering the rough terrain of the island? The staff, in particular Dr. Cawley, are obviously hiding something from Teddy, and Teddy's going to figure it out.He and Chuck are not long term partners, Chuck having met Teddy for the first time on the boat, so Teddy tells Chuck his real reason for taking the case. He's heard things about Shutter Island, stemming from stories he's heard about the man who lit the fire in the apartment building he was living in that killed his wife. He's there, but there have also been tales of sick experiments being run on the patients, particularly in Ward C built from the actual fort while the rest of the hospital was made of the troops' barracks. Teddy's going to get to the bottom of this and blow the whole thing up to the world.It's a paranoia infested plot that involves anti-communist agents, young and innocent socialists, and a power mad doctor, and it's all in Teddy's mind.The main strength of this movie really is Teddy's descent into madness and how it's masked for so long as a him getting closer to the truth. That manifests in particular through memories and dreams. Teddy was a soldier in World War II and helped liberate Dachau, and he's consumed by the memory of the commandant killing himself poorly and dying in a pool of his own blood as well as the piles of bodies in the ice and snow and his part in the quick execution of the SS guards. He also has dreams of his departed wife in their apartment. There's a mysterious presence of water, and her back is hollowed out and ashy from fire as she crumbles in his arms.As the story progresses and Teddy becomes convinced that Dr. Cawley is feeding him drugs in the food, water, and even cigarettes, the visions become more pronounced in his waking life. His wife and a little girl appear before him, and he talks to them directly without anyone else seeing them. However, because the movie is told really strictly from Teddy's point of view we don't have any other information until later that the exact opposite is happening, that he's in withdrawal from the drugs that he had been on before a couple of days before.The reveal at the end in the much talked about lighthouse is a gut punch. The true nature of Teddy's sickness, the true history of his wife and how she died, it's all inexorably tied to what we've seen before, and the audience wants to reject that reality as much as Teddy does. It's horrible what Teddy went through, and his insistence on living in a fantasy world of Nazi experiments suddenly makes so much more sense.Now, the reading of the ending. There's really only one interpretation of Teddy's final choice. If we have all this talk of running from the past, of having a choice of becoming a monster or staying a good man, what possible explanation could there be other than Teddy is completely self-aware when he says the fateful words that lead to the final surgery? If not, then the rest of the movie was just a series of random events that don't mean anything, but if those events do mean something then the ending means that Teddy is making his choice in full command of his facilities. He's faced with the truth of his actions, of his past, and of his wife, and he can't take it. He can either descend back into madness or he can remove himself from that completely, and he chooses removal.This is such a natural follow up to The Departed for Scorsese. Both are about identity, about making choices of who we are, but Shutter Island is firmly within the psychological horror genre while The Departed was a crime movie. There's so much to chew on for the audience on these questions of who we choose to be based on what came before us.On top of all that, this movie is gorgeous to simply look at. Up until this point, this is Scorsese's best looking movie (Silence, I think, ends up even prettier). The deep blues and greens of the island, the storm, and the dark corridors of Ward C along with the bright red of the old barracks all provide this wonderfully rich color palette that is wonderfully pleasing to the eye. Lensed by Robert Richardson who had worked with Scorsese on Bringing Out the Dead and The Aviator (where color had been rather precisely designed to recreate color photography from different eras of Hollywood's history), the movie just looks fantastic.DiCaprio gives a very good performance as Teddy, steadily losing his mind as he goes deeper into the mysteries of the island. Ben Kinglsey balances right between professional, menacing, and caring in ways that make perfect sense within their contexts but add up to a man frustrated in his quest to help a sick man. Michelle Williams is wounded and also rather terrifying as Teddy's wife, Dolores. There are very small parts from Elias Koteas as Andrew Laeddis, the man Teddy's trying to find, and by Jackie Earle Haley as George Noyce, a patient who'd received a beating. I suppose the only weak link is Mark Ruffalo as Chuck. He's fine as the clueless US Marshal in over his head early, but he feels kind of empty late in the film when his true nature appears.Still, this movie is great, and it's one of Scorsese's best. Intelligently written by Laeta Kalogridis, beautifully photographed by Robert Richardson, and scored by a variety of classical music arranged by long-time Scorsese collaborator Robbie Richardson of The Band, Scorsese's Shutter Island shows the advantages of a master of the craft given a large budget to fully tell a story that appeals to him.","
            10/10
            "
"Sleepin_Dragon","4 November 2023","US Marshals Teddy Daniels and Chuck Aule travel to an asylum on a remote island, aiming to discover a missing patient, there they discover some very strange goings on there.Shutter Island is probably in my top twenty films of all time, when I first saw it I didn't fully understand it, since then I've studied all sorts of theories, and tried to put the pieces together.You may need to watch it for a second time, as some of the pieces mah not fall into place, but when they do..... The twist was brilliant, I didn't see it coming first time round.Gripping, imaginative, clever, twisted, engrossing, I could go on, it's a wonderful movie, one that really does make you think, as an attentive viewer you will be hugely rewarded.I don't know why, but to me it's never felt like a Martin Scorsese film, maybe it's the tone or the actual story itself, but it's just so unlike any of this other works.Scorsese always knows how to get the best our of Di Caprio, and once again he delivers, it's a quite brilliant performance.10/10.","
            8/10
            "
