"","title","author","subject","abstract","meta"
"1","Accessing the speed of sound in relativistic ultracentral nucleus-nucleus collisions using the mean transverse momentum","Fernando G. Gardim, Andre V. Giannini, Jean-Yves Ollitrault","Nuclear Theory (nucl-th)","It has been argued that the speed of sound of the strong interaction at high temperature can be measured using the variation of the mean transverse momentum with the particle multiplicity in ultracentral heavy-ion collisions. We test this correspondence by running hydrodynamic simulations at zero impact parameter with several equations of state, at several colliding energies from 0.2 TeV to 15 TeV per nucleon pair. The correspondence is found to be precise and robust for a smooth, boost-invariant fluid and an ideal detector. We discuss the differences between this ideal setup and an actual experiment. We conclude that the extraction of the speed of sound from data is reliable, and that the main uncertainty comes from our poor knowledge of the distribution of density fluctuations at the early stages of the collision.","Sun, 10 Mar 2024 00:44:19 UTC (381 KB)"
"2","Shear viscosity of quark-gluon plasma at finite temperature and chemical potential and QCD phase transitions","Wei-be He, Guo-yun Shao, Chong-long Xie, Ren-xin Xu","High Energy Physics - Phenomenology (hep-ph)","We explore the shear viscosity of quark-gluon plasma (QGP) in the full QCD phase diagram within the framework of kinetic theory with the relaxation time approximation based on the $2 \leftrightarrow 2$ elastic scatterings of quark quasiparticles. The temperature and chemical potential dependent masses of particles, including $u, d, s$ quarks, their antiparticles, and exchanged mesons, are calculated in the Polyakov-loop extended Nambu--Jona Lasinio (PNJL) model. The results indicate that, at small chemical potential, the value of $\eta/s$ has a minimum near the Mott dissociation of mesons and increases rapidly in the lower-temperature side of the chiral crossover phase transition. At large chemical potential (high density), $\eta/s$ in the QGP phase is dominated by the temperature, and the value of $\eta/s$ is greatly enhanced at lower temperature. At intermediate temperature and chemical potential near the QCD phase transition, the situation is relatively complicated. The behavior of $\eta/s$ is influenced by the competition between temperature, density effect, and QCD phase transition.","Sat, 9 Mar 2024 15:55:53 UTC (638 KB)"
"3","Skewed generalized parton distributions of proton from basis light-front quantization","Yiping Liu, Siqi Xu, Chandan Mondal, Xingbo Zhao, James P.Vary","High Energy Physics - Phenomenology (hep-ph)","We obtain all the leading-twist quark generalized parton distributions (GPDs) inside the proton at nonzero skewness within the basis light-front quantization framework. We employ the light-front wave functions of the proton from a light-front quantized Hamiltonian in the valence Fock sector consisting of a three-dimensional confinement potential and a one-gluon exchange interaction with fixed coupling. We find that the qualitative behaviors of our GPDs are similar to those of other theoretical calculations. We further examine the GPDs within the boost-invariant longitudinal coordinate, $\sigma=\frac{1}{2} b^- P^+$, which is identified as the Fourier conjugate of the skewness. The GPDs in the $\sigma$-space show diffraction patterns, which are akin to the diffractive scattering of a wave in optics.","Sat, 9 Mar 2024 14:13:06 UTC (8,670 KB)"
"4","Neutron scattering off spherical nuclei with global nonlocal dispersive optical model","B. Morillon, G. Blanchon, P. Romain, H.F. Arellano","Nuclear Theory (nucl-th)","We present a global nonlocal and dispersive optical model potential for neutron scattering off spherical nuclei with incident energies up to 250 MeV. This optical model is an extension of the non-dispersive Perey-Buck potential. The imaginary components are chosen energy-dependent and the dispersive constraints are taken into account. The surface imaginary part is nonlocal, whereas the volume imaginary part above 10 MeV is local, allowing to reproduce total cross sections and scattering data for high energies. We obtain a good description of scattering observables for target-nuclei ranging from $A=16$, up to $209$. The inclusion of nonlocal spin-orbit term enables a better description of the analyzing power data relative to the local dispersive model.","Sat, 9 Mar 2024 08:55:39 UTC (722 KB)"
"5","Description of moment of inertia and the interplay between anti-pairing and pairing correlations in even-even $^{244}$Pu and $^{248}$Cm","Anshul Dadwal, Xiao-Tao He","Nuclear Theory (nucl-th)","Within the supersymmetry scheme, which includes many-body interactions and a perturbation possessing the SO(5) (or SU(5)) symmetry, the rotational bands of the $A\sim 250$ mass region are studied systematically. A novel modification is introduced, extending the Arima coefficient to the third order. This study is dedicated to the quantitative analysis of evolving trends in intraband $\gamma$-transition energy, kinematic, and the dynamic moment of inertia within the rotational bands of $^{244}$Pu and $^{248}$Cm. The computed outcomes exhibit an exceptional degree of agreement with experimental observations across various conditions. The significance of including a higher-order Arima coefficient is further examined by contrasting it with the previously suggested model. The calculated results demonstrate the significance of both the anti-pairing and pairing effects in the evolution of the dynamic moment of inertia. Additionally, these insights reveal the importance of a newly introduced parameter in accurately depicting complex nuclear behaviors such as back-bending, up-bending, and the downturn in the moment of inertia.","Sat, 9 Mar 2024 07:20:01 UTC (1,517 KB)"
"6","Dark matter, CE$ν$NS and neutrino new physics scrutinized by a statistical method in Xenon-based experiments","Jian Tang, Bing-Long Zhang","High Energy Physics - Phenomenology (hep-ph)","Dark matter direct detection experiments are going to touch the neutrino floor with a good chance to measure coherent elastic neutrino-nucleus scattering (CE$\nu$NS) and a probe of neutrino-related new physics ($\nu$NP). In this study, we emphatically investigate the simultaneous presence of dark matter and $\nu$NP revealing a response resembling of Standard Model neutrino backgrounds in Xenon-based dark matter experiments. Demonstrated by three U(1) extension models, we figure out that dark matter signals can be distinguished from an excess or a depletion of neutrino contributions from $\nu$NP by a statistically defined distinction method in nuclear and electronic recoil spectra. We also present the influence of $\nu$NP on the exclusion limits for spin-independent dark matter-nucleon interactions. Our work might pave the way for new physics discrimination in future dark matter experiments.","Sat, 9 Mar 2024 06:59:20 UTC (1,609 KB)"
"7","Symmetric cumulant $sc_{2,4} \left \{ 4 \right \}$ and asymmetric cumulant $ac_{2} \left \{ 3 \right \}$ from transverse momentum conservation and flow","Jia-Lin Pei, Guo-Liang Ma, Adam Bzdak","High Energy Physics - Phenomenology (hep-ph)","The multi-particle cumulants method can be used to reveal long-range collectivity in small and large colliding systems. The four-particle symmetric cumulant $sc_{2,4} \left \{ 4 \right \}$, three-particle asymmetric cumulant $ac_{2} \left \{ 3 \right \}$, and the normalised cumulants $nsc_{2,4} \left \{ 4 \right \}$ and $nac_{2} \left \{ 3 \right \}$ from the transverse momentum conservation and flow are calculated. The interplay between the two effects is also investigated. Our results are in good agreement with the recent ATLAS measurements of multi-particle azimuthal correlations with the subevent cumulant method, which provides insight into the origin of collective flow in small systems.","Sat, 9 Mar 2024 03:31:22 UTC (30 KB)"
"8","Muon Capture on $^{6}$Li, $^{12}$C, and $^{16}$O from $Ab~Initio$ Nuclear Theory","Lotta Jokiniemi, Petr Navratil, Jenni Kotila, Kostas Kravvaris","Nuclear Theory (nucl-th)","Muon capture on nuclei is one of the most promising probes of the nuclear electroweak current driving the yet-hypothetical neutrinoless double-beta ($0\nu\beta\beta$) decay. Both processes involve vector and axial-vector currents at finite momentum transfer, $q\sim 100$ MeV, as well as the induced pseudoscalar and weak-magnetism currents. Comparing measured muon-capture rates with reliable $ab~initio$ nuclear-theory predictions could help us validate these currents. To this end, we compute partial muon-capture rates for $^{6}$Li, $^{12}$C and $^{16}$O, feeding the ground and excited states in $^{6}$He, $^{12}$B and $^{16}$N, using $ab~initio$ no-core shell model with two- and three-nucleon chiral interactions. We remove the spurious center-of-mass motion by introducing translationally invariant operators and approximate the effect of hadronic two-body currents by Fermi-gas model. We solve the bound-muon wave function from the Dirac wave equations in the Coulomb field created by a finite nucleus. We find that the computed rates to the low-lying states in the final nuclei are in good agreement with the measured counterparts. We highlight sensitivity of some of the transitions to the sub-leading three-nucleon interaction terms. We also compare summed rates to several tens of final states with the measured total capture rates and note that we slightly underestimate the total rate with this simple approach due to limited range of excitation energies.","Sat, 9 Mar 2024 03:19:36 UTC (1,749 KB)"
"9","Testing effective field theory with the most general neutron decay correlations","Chien-Yeah Seng","High Energy Physics - Phenomenology (hep-ph)","Built on the seminal works by Jackson-Treiman-Wyld and Ebel-Feldman, we derive the most general free neutron differential decay rate where all massive particles (neutron, proton and electron) are polarized. This introduces 33 new correlations in addition to the 18 existing ones, which over-constrain the coupling constants in the low-energy effective field theory of charged weak interactions, and thus provides stringent tests of the validity of the theory framework itself. We classify the correlation coefficients in terms of their Standard Model limit and discrete symmetries, and study their expansion with respect to the new physics coupling strengths, supplemented by the experiment-independent $\mathcal{O}(\alpha)$ virtual electromagnetic radiative corrections.","Fri, 8 Mar 2024 23:00:25 UTC (21 KB)"
"10","Search for anti-quark nuggets via their interaction with the LHC beam","K. Zioutas, A. Zhitnitsky, C. Zamantzas, Y. K. Semertzidis, O. M. Ruimie, K. Ozbozduman, M. Maroudas, A. Kryemadhi, M. Karuza, D. Horns, A. Gougas, S. Cetin, G. Cantatore, D. Budker","High Energy Physics - Experiment (hep-ex)","Anti-quark nuggets (AQNs) have been suggested to solve the dark matter (DM) and the missing antimatter problem in the universe and have been proposed as an explanation of various observations. Their size is in the {\mu}m range and their density is about equal to the nuclear density with an expected flux of about $0.4 / km^2 / year$. For the typical velocity of DM constituents ($\sim$250 km/s), the solar system bodies act as highly performing gravitational lenses. Here we assume that DM streams or clusters are impinging, e.g., on the Earth, as it was worked out for DM axions and Weakly Interacting Massive Particles (WIMPs). Interestingly, in the LHC beam, unforeseen beam losses are triggered by so-called Unidentified Falling Objects (UFOs), which are believed to be constituted of dust particles with a size in the {\mu}m range and a density of several orders of magnitude lower than AQNs. Prezeau suggested that streaming DM constituents incident on the Earth should result in jet-like structures (""hairs"") exiting the Earth, or a kind of caustics. Such ideas open novel directions in the search for DM. This work suggests a new analysis of the UFO results at the Large Hadron Collider (LHC), assuming that they are eventually, at least partly, due to AQNs. Firstly, a reanalysis of the existing data from the 4000 beam monitors since the beginning of the LHC is proposed, arguing that dust and AQNs should behave differently. The feasibility of this idea has been discussed with CERN accelerator people and potential collaborators.","Fri, 8 Mar 2024 10:21:36 UTC (263 KB)"
